,2016,0.00
19123,2016,34.13
19125,2016,35.20
19127,2016,27.07
19129,2016,21.77
19131,2016,24.20
19133,2016,36.13
19135,2016,36.04
19137,2016,23.29
19139,2016,23.86
19141,2016,28.47
19143,2016,34.56
19145,2016,28.52
19147,2016,25.46
19149,2016,28.10
19151,2016,38.72
19153,2016,25.29
19155,2016,21.54
19157,2016,28.69
19159,2016,25.30
19161,2016,27.95
19163,2016,24.58
19165,2016,27.79
19167,2016,33.17
19169,2016,24.12
19171,2016,31.23
19173,2016,19.53
19175,2016,28.92
19177,2016,36.77
19179,2016,29.30
19181,2016,29.40
19183,2016,35.10
19185,2016,40.81
19187,2016,27.15
19189,2016,30.31
19191,2016,24.04
19193,2016,27.04
19195,2016,30.67
19197,2016,33.81
20,2016,48.15
20003,2016,36.82
20007,2016,52.53
20009,2016,44.24
20013,2016,42.81
20015,2016,60.49
20017,2016,48.36
20021,2016,60.41
20023,2016,50.00
20025,2016,43.69
20027,2016,53.72
20031,2016,48.48
20037,2016,52.46
20039,2016,47.75
20041,2016,51.86
20045,2016,40.34
20047,2016,35.00
20049,2016,49.56
20053,2016,49.76
20057,2016,44.54
20059,2016,52.16
20061,2016,36.68
20063,2016,42.59
20065,2016,42.70
20069,2016,51.90
20073,2016,45.28
20075,2016,51.40
20079,2016,61.84
20081,2016,53.54
20083,2016,53.44
20087,2016,46.62
20091,2016,40.89
20093,2016,46.20
20101,2016,46.97
20103,2016,43.97
20105,2016,54.91
20109,2016,44.22
20111,2016,40.96
20113,2016,58.48
20115,2016,59.22
20117,2016,44.61
20119,2016,53.49
20121,2016,51.44
20123,2016,43.23
20125,2016,51.43
20127,2016,46.06
20131,2016,54.81
20135,2016,37.68
20137,2016,44.97
20139,2016,47.79
20143,2016,60.07
20145,2016,47.33
20147,2016,41.31
20149,2016,52.63
20151,2016,42.77
20153,2016,45.50
20155,2016,55.57
20159,2016,45.99
20161,2016,46.60
20165,2016,52.17
20167,2016,36.18
20169,2016,47.53
20175,2016,53.74
20177,2016,42.80
20179,2016,45.95
20181,2016,41.16
20185,2016,48.75
20193,2016,45.40
20195,2016,46.09
20197,2016,54.95
20199,2016,50.70
20201,2016,44.95
20205,2016,45.85
20207,2016,35.09
20209,2016,49.27
20601,2016,54.35
21,2016,31.57
21001,2016,24.12
21003,2016,34.75
21005,2016,35.22
21007,2016,51.41
21009,2016,34.60
21011,2016,36.45
21013,2016,22.47
21015,2016,34.42
21017,2016,32.04
21019,2016,33.82
21021,2016,27.30
21023,2016,43.66
21025,2016,49.39
21027,2016,32.29
21029,2016,37.10
21031,2016,25.88
21033,2016,35.13
21035,2016,37.26
21037,2016,30.80
21039,2016,61.69
21041,2016,41.80
21043,2016,30.30
21045,2016,26.33
21047,2016,38.20
21049,2016,33.18
21051,2016,23.16
21053,2016,25.28
