,2014,0.00
12031,2014,54.22
12031,08/2014,54.25
12033,2014,61.99
12033,08/2014,62.00
12035,2014,52.82
12035,08/2014,52.82
12037,2014,58.17
12037,08/2014,58.16
12039,2014,27.27
12039,08/2014,27.28
12041,2014,69.24
12041,08/2014,69.24
12043,2014,60.10
12043,08/2014,60.10
12045,2014,67.25
12045,08/2014,67.31
12047,2014,52.66
12047,08/2014,52.71
12049,2014,59.49
12049,08/2014,59.48
12051,2014,55.99
12051,08/2014,56.00
12053,2014,47.89
12053,08/2014,47.90
12055,2014,59.07
12055,08/2014,59.08
12057,2014,45.74
12057,08/2014,45.77
12059,2014,75.28
12059,08/2014,75.29
12061,2014,58.51
12061,08/2014,58.53
12063,2014,57.89
12063,08/2014,57.91
12065,2014,45.04
12065,08/2014,45.03
12067,2014,65.79
12067,08/2014,65.78
12069,2014,56.00
12069,08/2014,56.05
12071,2014,57.99
12071,08/2014,58.02
12073,2014,35.41
12073,08/2014,35.57
12075,2014,63.24
12075,08/2014,63.22
12077,2014,58.46
12077,08/2014,58.46
12079,2014,49.24
12079,08/2014,49.28
12081,2014,51.75
12081,08/2014,51.75
12083,2014,55.25
12083,08/2014,55.26
12085,2014,55.27
12085,08/2014,55.28
12086,2014,39.32
12086,08/2014,39.32
12087,2014,45.94
12087,08/2014,45.94
12089,2014,72.02
12089,08/2014,72.02
12091,2014,75.47
12091,08/2014,75.48
12093,2014,56.40
12093,08/2014,56.37
12095,2014,41.61
12095,08/2014,41.62
12097,2014,42.98
12097,08/2014,43.00
12099,2014,38.24
12099,08/2014,38.25
12101,2014,46.80
12101,08/2014,46.81
12103,2014,41.00
12103,08/2014,41.01
12105,2014,51.17
12105,08/2014,51.18
12107,2014,61.22
12107,08/2014,61.22
12109,2014,67.23
12109,08/2014,67.23
12111,2014,42.70
12111,08/2014,42.72
12113,2014,74.90
12113,08/2014,74.92
12115,2014,48.73
12115,08/2014,48.74
12117,2014,50.67
12117,08/2014,50.68
12119,2014,68.23
12119,08/2014,68.23
12121,2014,66.10
12121,08/2014,66.11
12123,2014,63.90
12123,08/2014,63.94
12125,2014,55.49
12125,08/2014,55.50
12127,2014,48.76
12127,08/2014,48.76
12129,2014,55.74
12129,08/2014,55.74
12131,2014,74.30
12131,08/2014,74.29
12133,2014,70.11
12133,08/2014,70.13
13,2014,52.74
13,08/2014,44.83
13001,2014,72.41
13001,08/2014,72.39
13003,2014,61.92
13003,08/2014,62.00
13005,2014,76.48
