,2016,0.00
19131,2016,2.12
19133,2016,0.39
19135,2016,0.55
19137,2016,4.73
19139,2016,2.20
19141,2016,1.39
19143,2016,3.98
19145,2016,2.86
19147,2016,3.24
19149,2016,2.33
19151,2016,1.86
19153,2016,4.52
19155,2016,1.60
19157,2016,3.87
19159,2016,4.82
19161,2016,2.84
19163,2016,3.62
19165,2016,1.21
19167,2016,1.65
19169,2016,2.82
19171,2016,1.22
19173,2016,2.64
19175,2016,1.71
19177,2016,0.56
19179,2016,1.44
19181,2016,2.49
19183,2016,4.08
19185,2016,2.15
19187,2016,2.77
19189,2016,3.89
19191,2016,2.49
19193,2016,1.68
19195,2016,2.40
19197,2016,2.85
20,2016,0.11
20003,2016,0.39
20015,2016,0.05
20027,2016,0.23
20037,2016,0.13
20045,2016,0.09
20053,2016,0.49
20057,2016,0.45
20059,2016,0.23
20081,2016,0.51
20083,2016,0.76
20091,2016,0.06
20103,2016,0.19
20111,2016,0.19
20113,2016,0.22
20115,2016,0.33
20117,2016,0.29
20119,2016,0.39
20123,2016,0.86
20125,2016,0.38
20127,2016,0.41
20137,2016,0.89
20139,2016,0.18
20147,2016,0.25
20155,2016,0.14
20159,2016,0.27
20161,2016,0.07
20167,2016,0.33
20175,2016,0.14
20177,2016,0.18
20195,2016,0.78
20201,2016,0.70
20205,2016,0.29
20209,2016,0.08
20601,2016,0.06
21,2016,0.13
21001,2016,0.27
21003,2016,0.27
21005,2016,0.06
21009,2016,0.04
21013,2016,0.31
21015,2016,0.06
21019,2016,0.05
21021,2016,0.40
21027,2016,0.47
21029,2016,0.05
21031,2016,0.31
21033,2016,0.36
21035,2016,0.06
21037,2016,0.05
21043,2016,0.08
21045,2016,0.05
21047,2016,0.21
21049,2016,0.09
21051,2016,0.26
21053,2016,0.28
21055,2016,0.25
21057,2016,0.30
21059,2016,0.04
21061,2016,0.30
21065,2016,1.69
21067,2016,0.15
21069,2016,0.51
21073,2016,0.10
21075,2016,0.63
21079,2016,0.51
21085,2016,0.16
21087,2016,0.37
21089,2016,0.13
21091,2016,0.60
21093,2016,0.12
21095,2016,0.44
21103,2016,0.13
21107,2016,0.06
21109,2016,0.26
21111,2016,0.09
21115,2016,0.15
21117,2016,0.12
21121,2016,0.17
21123,2016,0.14
21125,2016,0.22
21127,2016,0.10
21131,2016,0.10
21133,2016,0.28
21137,2016,0.08
21139,2016,0.32
21141,2016,0.23
21145,2016,0.20
21147,2016,0.22
21151,2016,0.06
21153,2016,0.19
21159,2016,0.21
21165,2016,0.93
21167,2016,0.22
21177,2016,0.22
21179,2016,0.05
21183,2016,0.12
21185,2016,0.08
21187,2016,0.39
21189,2016,1.12
21195,2016,0.06
21197,2016,0.20
21199,2016,0.16
21203,2016,0.12
21205,2016,0.11
21207,2016,0.18
21209,2016,0.03
21211,2016,0.03
21215,2016,0.18
21217,2016,0.18
21221,2016,0.11
21223,2016,0.48
21227,2016,0.07
21229,2016,0.33
21231,2016,0.42
21235,2016,0.24
21237,2016,2.08
21239,2016,0.11
22,2016,0.71
22001,2016,0.63
