,2016,0.00
15009,2016,12.71
16,2016,15.90
16001,2016,16.13
16003,2016,11.70
16005,2016,22.69
16007,2016,21.90
16009,2016,6.67
16011,2016,25.22
16013,2016,15.23
16015,2016,10.19
16017,2016,7.43
16019,2016,29.02
16021,2016,6.58
16023,2016,20.38
16025,2016,15.11
16027,2016,12.68
16029,2016,22.08
16031,2016,18.39
16033,2016,31.82
16035,2016,10.64
16037,2016,17.16
16039,2016,13.41
16041,2016,21.33
16043,2016,21.50
16045,2016,10.97
16047,2016,10.80
16049,2016,8.95
16051,2016,23.72
16053,2016,9.63
16055,2016,8.39
16057,2016,11.05
16059,2016,16.94
16061,2016,10.58
16063,2016,11.36
16065,2016,27.11
16067,2016,15.02
16069,2016,11.68
16071,2016,13.92
16073,2016,8.92
16075,2016,11.78
16077,2016,20.84
16079,2016,9.58
16081,2016,19.05
16083,2016,12.48
16085,2016,12.68
16087,2016,12.66
17,2016,8.65
17001,2016,7.14
17003,2016,2.79
17005,2016,7.24
17007,2016,7.43
17009,2016,4.75
17011,2016,8.36
17013,2016,5.89
17015,2016,8.51
17017,2016,7.09
17019,2016,11.18
17021,2016,5.46
17023,2016,7.44
17025,2016,4.75
17027,2016,6.48
17029,2016,8.58
17031,2016,10.41
17033,2016,7.20
17035,2016,5.87
17037,2016,9.71
17039,2016,6.59
17041,2016,7.06
17043,2016,10.07
17045,2016,7.64
17047,2016,7.08
17049,2016,5.94
17051,2016,5.39
17053,2016,8.26
17055,2016,5.18
17057,2016,5.44
17059,2016,4.77
17061,2016,6.16
17063,2016,7.95
17065,2016,5.99
17067,2016,5.47
17069,2016,4.68
17071,2016,6.24
17073,2016,8.80
17075,2016,7.56
17077,2016,9.85
17079,2016,4.79
17081,2016,6.12
17083,2016,5.52
17085,2016,9.35
17087,2016,5.36
17089,2016,9.84
17091,2016,7.85
17093,2016,9.43
17095,2016,8.20
17097,2016,10.59
17099,2016,6.79
17101,2016,5.41
17103,2016,6.72
17105,2016,8.46
17107,2016,7.21
17109,2016,7.87
17111,2016,9.74
17113,2016,9.72
17115,2016,5.84
17117,2016,5.51
17119,2016,7.09
17121,2016,6.20
17123,2016,6.20
17125,2016,7.09
17127,2016,5.73
17129,2016,6.53
17131,2016,7.29
17133,2016,8.40
17135,2016,7.27
17137,2016,8.41
17139,2016,5.23
17141,2016,6.47
17143,2016,7.60
17145,2016,6.28
17147,2016,9.11
17149,2016,5.44
17151,2016,4.13
17153,2016,3.35
17155,2016,4.93
17157,2016,5.78
17159,2016,5.45
17161,2016,9.32
17163,2016,7.35
17165,2016,5.38
17167,2016,7.26
17169,2016,7.26
17171,2016,7.00
17173,2016,5.06
17175,2016,6.24
17177,2016,8.23
17179,2016,6.75
17181,2016,5.41
17183,2016,7.03
17185,2016,8.41
17187,2016,7.56
17189,2016,6.61
17191,2016,4.98
17193,2016,6.16
17195,2016,6.73
17197,2016,8.28
17199,2016,6.26
17201,2016,6.52
17203,2016,7.41
18001,2016,0.29
18003,2016,0.50
18005,2016,0.57
18007,2016,0.74
18009,2016,0.30
18011,2016,0.53
18013,2016,0.41
18015,2016,0.41
18017,2016,0.64
18019,2016,0.65
18021,2016,0.36
18023,2016,0.59
18025,2016,0.62
18027,2016,0.53
18029,2016,0.32
18031,2016,0.46
18033,2016,0.42
18035,2016,0.45
18037,2016,0.46
18039,2016,0.49
18041,2016,0.34
18043,2016,0.79
18045,2016,0.36
18047,2016,0.29
18049,2016,0.41
18051,2016,0.35
18053,2016,0.36
18055,2016,0.39
18057,2016,0.55
18059,2016,0.38
18061,2016,0.40
18063,2016,0.47
18065,2016,0.37
18067,2016,0.40
18069,2016,0.59
18071,2016,0.62
18073,2016,0.53
18075,2016,0.34
18077,2016,0.50
18079,2016,0.42
18081,2016,0.43
18083,2016,0.42
18085,2016,0.33
18087,2016,0.44
18089,2016,0.42
18091,2016,0.41
18093,2016,0.50
18095,2016,0.50
18097,2016,0.50
18099,2016,0.51
18101,2016,0.31
18103,2016,0.36
18105,2016,0.61
18107,2016,0.73
18109,2016,0.41
18111,2016,0.49
18113,2016,0.58
18115,2016,0.50
18117,2016,0.78
18119,2016,0.38
18121,2016,0.35
18123,2016,0.48
18125,2016,0.49
18127,2016,0.48
18129,2016,0.34
18131,2016,0.46
18133,2016,0.26
18135,2016,0.25
18137,2016,0.35
18139,2016,0.48
18141,2016,0.37
18143,2016,0.30
18145,2016,0.29
18147,2016,0.58
18149,2016,0.16
18151,2016,0.47
18153,2016,0.17
18155,2016,0.31
18157,2016,0.54
18159,2016,0.79
18161,2016,0.27
18163,2016,0.40
18165,2016,0.52
18167,2016,0.48
18169,2016,0.41
18171,2016,0.38
18173,2016,0.38
18175,2016,0.35
18177,2016,0.43
18179,2016,0.35
18181,2016,0.45
18183,2016,0.48
19,2016,23.12
19001,2016,19.66
19003,2016,17.22
19005,2016,19.10
19007,2016,10.71
19009,2016,14.97
19011,2016,15.05
19013,2016,26.24
19015,2016,18.20
19017,2016,26.11
19019,2016,13.14
